[2022-07-21T09:46:11.045] [WARN] default - Route GET /api/productos no existe
[2022-07-21T15:01:25.205] [WARN] default - Route GET /api/auth/estilos.css no existe
[2022-07-21T15:01:25.506] [WARN] default - Route GET /favicon.ico no existe
[2022-07-21T15:01:27.274] [WARN] default - Route GET /api/auth/estilos.css no existe
[2022-07-21T15:04:19.467] [WARN] default - Route GET /api/auth/estilos.css no existe
[2022-07-21T15:04:58.214] [WARN] default - Route GET /api/auth/estilos.css no existe
[2022-07-21T15:04:59.926] [WARN] default - Route GET /api/auth/estilos.css no existe
[2022-07-21T15:06:17.780] [WARN] default - Route GET /api/public/estilos.css no existe
[2022-07-21T15:06:20.276] [WARN] default - Route GET /api/public/estilos.css no existe
[2022-07-21T15:06:46.311] [WARN] default - Route GET /api/public/estilos.css no existe
[2022-07-21T15:06:52.920] [WARN] default - Route GET /api/auth/estilos.css no existe
[2022-07-22T10:09:38.792] [WARN] default - Route GET /favicon.ico no existe
[2022-07-22T12:58:51.305] [WARN] default - Route GET /favicon.ico no existe
